mapping_address,address,latitude,longitude,region_code,state,country
Sydney Riverwood,"Riverwood NSW 2210, Australia",-33.94538,151.0534022,0,NSW,Australia
Adelaide Woodville Park,"Woodville Park SA 5011, Australia",-34.8821474,138.547069,0,SA,Australia
Devonport & North West East Devonport,"Devonport TAS 7310, Australia",-41.1800656,146.3502862,0,TAS,Australia
Wagga Wagga & Riverina Junee,"Wagga Wagga NSW 2650, Australia",-35.1025977,147.3655103,0,NSW,Australia
Sydney Pennant Hills,"Pennant Hills NSW 2120, Australia",-33.738881,151.0723841,0,NSW,Australia
Sydney Penshurst,"Penshurst NSW 2222, Australia",-33.96334700000001,151.0867644,0,NSW,Australia
Waikato Frankton,"Frankton, Hamilton 3204, New Zealand",-37.7949603,175.2605944,1,,New Zealand
Adelaide Melrose Park,"Melrose Park SA 5039, Australia",-34.9838684,138.5787651,0,SA,Australia
Melbourne South Morang,"South Morang VIC 3752, Australia",-37.6372475,145.0935493,0,VIC,Australia
Sydney Neutral Bay,"Neutral Bay NSW 2089, Australia",-33.8339383,151.2188459,0,NSW,Australia
Perth Cloverdale,"Cloverdale WA 6105, Australia",-31.9625086,115.9448371,0,,Australia
Cairns & Far North Earlville,"Earlville QLD 4870, Australia",-16.9428366,145.7388074,0,QLD,Australia
Bay of Plenty,Bay Of Plenty,-37.4233917,176.7416374,3,,Bay Of Plenty
"Newcastle, Maitland & Hunter Belmont","Hunter St & Maitland Rd, Islington NSW 2296, Australia",-32.9195918,151.7513186,0,NSW,Australia
Brisbane Lawnton,"Lawnton QLD, Australia",-27.2822985,152.9771433,0,QLD,Australia
West Coast Hokitika,"Hokitika, New Zealand",-42.7156909,170.9683049,1,,New Zealand
Perth Highgate,"Highgate WA 6003, Australia",-31.939221,115.8691994,0,,Australia
Sydney Strathfield,"Strathfield NSW 2135, Australia",-33.8774262,151.0823822,0,NSW,Australia
Far West & North Central NSW Brewarrina,"Brewarrina NSW 2839, Australia",-29.96247,146.8611294,0,NSW,Australia
Perth Kings Park,"Kings Park and Botanic Garden, Fraser Ave, Perth WA 6005, Australia",-31.9609106,115.8321929,0,,Australia
"Kalgoorlie, Goldfields & Esperance","Kalgoorlie - Boulder WA, Australia",-30.749,121.466,0,,Australia
Northam & Wheatbelt Moora,"Moora WA 6510, Australia",-30.6410361,116.008009,0,,Australia
"Port Hedland, Karratha & Pilbara Nullagine","Port Hedland WA 6721, Australia",-20.311052,118.6094431,0,,Australia
Melbourne Taylors Lakes,"Taylors Lakes VIC 3038, Australia",-37.6973477,144.7811982,0,VIC,Australia
"Newcastle, Maitland & Hunter Anna Bay","Anna Bay NSW 2316, Australia",-32.7789846,152.0857844,0,NSW,Australia
Tamworth & North West NSW Willow Tree,"New South Wales, Australia",-31.2532183,146.921099,0,,Australia
Brisbane Western Suburbs & Ipswich,"Queensland, Australia",-27.5020161,152.8970569,0,,Australia
Auckland Grey Lynn,"Grey Lynn, Auckland, New Zealand",-36.8642971,174.7373248,1,,New Zealand
Cairns & Far North South Johnstone,"South Johnstone QLD 4859, Australia",-17.5968709,145.9958853,0,QLD,Australia
Auckland Maraetai,"Maraetai, New Zealand",-36.8802308,175.0340814,1,,New Zealand
Adelaide Salisbury Downs,"Salisbury Downs SA 5108, Australia",-34.7686972,138.6200819,0,SA,Australia
"Newcastle, Maitland & Hunter East Maitland","East Maitland NSW 2323, Australia",-32.7440343,151.5883097,0,NSW,Australia
Auckland Waiuku,"Waiuku, New Zealand",-37.2576887,174.7336494,1,,New Zealand
Auckland Botany Downs,"Botany Downs, Auckland, New Zealand",-36.9076242,174.9182509,1,,New Zealand
Adelaide North Haven,"North Haven SA 5018, Australia",-34.78869450000001,138.4943814,0,SA,Australia
Sydney Lindfield,"Lindfield NSW 2070, Australia",-33.7787851,151.1693413,0,NSW,Australia
Perth Rockingham Beach,"Rockingham Beach, Western Australia, Australia",-32.2676646,115.7396753,0,,Australia
Perth Butler,"Butler, PA, USA",40.8611755,-79.89533279999999,3,, USA
Brisbane Yeronga,"Yeronga QLD, Australia",-27.5121403,153.014764,0,QLD,Australia
Manawatu Wanganui Central,"Whanganui 4500, New Zealand",-39.9295619,175.0467279,1,,New Zealand
Brisbane Aspley,"Aspley QLD, Australia",-27.3639,153.0157,0,QLD,Australia
Canterbury Papanui,"Papanui, Christchurch, New Zealand",-43.49698739999999,172.6079114,1,,New Zealand
Waikato Rotongaro,"Rotongaro, New Zealand",-37.5130895,175.0839341,1,,New Zealand
Brisbane Marsden,"Marsden QLD, Australia",-27.6759016,153.1008972,0,QLD,Australia
